"","artist","song","song_parts","key","bpm","chords","link"
"395","Demi Lovato","Heart Attack","Verse","Abmaj","90","Db-Ab-Eb-fm-Db-Ab-Eb-fm-Db-Ab-Eb-fm-Db-Ab-Eb-fm","http://www.hooktheory.com/theorytab/view/demi-lovato/heart-attack"
"396","Toni Braxton","Unbreak My Heart","Chorus","Dmin","56","dm-gm7-C-A7-dm-gm7-C-A7","http://www.hooktheory.com/theorytab/view/toni-braxton/unbreak-my-heart"
"397","Nirvana","Heart Shaped Box","Verse","G#dor","100","g#m-E-C#7-g#m-E-C#7","http://www.hooktheory.com/theorytab/view/nirvana/heart-shaped-box"
"398","Nirvana","Heart Shaped Box","Chorus","G#dor","200","g#m-g#m-E-E-C#7-C#-g#m-E-C#7","http://www.hooktheory.com/theorytab/view/nirvana/heart-shaped-box"
"399","Nirvana","Heart Shaped Box","Chorus","G#dor","196","E-E-C#7-C#7-E-E-C#7-C#7","http://www.hooktheory.com/theorytab/view/nirvana/heart-shaped-box"
"400","Porter Robinson-ft Urban Cone","Lionhearted","Pre-Chorus","Cmin","120","A-bmaj7-cm-B-b(add9)-fm(add9)-cm-B-b(add9)-A-bmaj7-cm-B-b(add9)-gsus4-Ab-cm","http://www.hooktheory.com/theorytab/view/porter-robinson-ft-urban-cone/lionhearted"
"401","Blondie","Heart of Glass","Verse","Amaj","115","E-C#-c#m-E-E-C#-c#m-E","http://www.hooktheory.com/theorytab/view/blondie/heart-of-glass"
"402","Blondie","Heart of Glass","Chorus","Amaj","115","A-f#m-E-E7-A-f#m-F#7-B-b#o-B(add9)-B7","http://www.hooktheory.com/theorytab/view/blondie/heart-of-glass"
"403","Kanye West","Heartless","Chorus","Bbmin","87","b-bm-Ab-Gb-fm7-b-bm-Ab-Gb-fm7","http://www.hooktheory.com/theorytab/view/kanye-west/heartless"
"404","Demi Lovato","Give Your Heart A Break","Verse","F#maj","126","B-F#-d#m-C#-B-F#-d#m-C#-B-F#-d#m-C#","http://www.hooktheory.com/theorytab/view/demi-lovato/give-your-heart-a-break"
"405","Demi Lovato","Give Your Heart A Break","Pre-Chorus","F#maj","126","B-F#-d#m-C#-B-F#-d#m-C#","http://www.hooktheory.com/theorytab/view/demi-lovato/give-your-heart-a-break"
"406","Demi Lovato","Give Your Heart A Break","Chorus","F#maj","122","B-F#-d#m-C#-B-F#-d#m-C#-B-F#-d#m-C#","http://www.hooktheory.com/theorytab/view/demi-lovato/give-your-heart-a-break"
"407","Demi Lovato","Give Your Heart A Break","Bridge","F#maj","128","d#m-B-C#-a#m-B-g#m-C#-a#m-B-F#-d#m-C#","http://www.hooktheory.com/theorytab/view/demi-lovato/give-your-heart-a-break"
"408","Sandra","Around My Heart","Verse","Emin","112","em-em7-G-D-C-em-em-em7-G-bm-C-Cmaj7-bm-A","http://www.hooktheory.com/theorytab/view/sandra/around-my-heart"
"409","Sandra","Around My Heart","Chorus","Emin","113","A-em-D-G-D-A-C-D-em-D-G-D-A-C-G-C-D","http://www.hooktheory.com/theorytab/view/sandra/around-my-heart"
"410","Toby Fox","Heartache","Verse","Bbmin","237","C-b6-C-b6-C-b6-C-b6-b-bm7-b-bm7-fm-Ab-C-b6-C-b6-C-b6-C-b6-b-bm7-b-bm7-fm-Ab-C-b6-C-b6-C-b6-C-b6-b-bm7-b-bm7-fm-Ab-Gb-Gb-Ab-fm-b-bm7-b-bm7-fm-Ab","http://www.hooktheory.com/theorytab/view/toby-fox/heartache"
"411","Toby Fox","Heartache","Pre-Chorus","Bbmin","240","Gb-G-bmaj7-Gb-G-bmaj7-b-bm-b-bm-Ab-fm-fm-Gb-G-bmaj7-Gb-G-bmaj7-b-bm-b-bm-Ab-fm7","http://www.hooktheory.com/theorytab/view/toby-fox/heartache"
"412","Toby Fox","Heartache","Chorus","Bbmin","236","G-bmaj7-G-bmaj7-Ab-Ab-bbm-b-bm-b-bm-b-bm-e-bm7-e-bm7-fm7-fm7-G-bmaj7-G-bmaj7-fm7-fm7-Gb-Gb-fm-Ab","http://www.hooktheory.com/theorytab/view/toby-fox/heartache"
"413","Toby Fox","Heartache","Bridge","Bbmin","225","b-bm7-C-bmaj7-C-bmaj7-Cb-C-bmaj7-C-bmaj7-C-bmaj7-C-bmaj7","http://www.hooktheory.com/theorytab/view/toby-fox/heartache"
"414","Fall Out Boy","America's Suitehearts","Verse","Dmaj","160","D-f#m-bm-A","http://www.hooktheory.com/theorytab/view/fall-out-boy/americas-suitehearts"
"415","Fall Out Boy","America's Suitehearts","Pre-Chorus","Dmaj","160","em-bm-em-bm-G","http://www.hooktheory.com/theorytab/view/fall-out-boy/americas-suitehearts"
"416","Fall Out Boy","America's Suitehearts","Chorus","Dmaj","160","D-bm-G-bm-A-G-A","http://www.hooktheory.com/theorytab/view/fall-out-boy/americas-suitehearts"
"417","Roxette","Listen To Your Heart","Intro","Bmin","85","","http://www.hooktheory.com/theorytab/view/roxette/listen-to-your-heart"
"418","Roxette","Listen To Your Heart","Verse","Bmin","85","bm-G-A-bm-bm-G-A-bm-bm-G-A-bm-bm-G-em","http://www.hooktheory.com/theorytab/view/roxette/listen-to-your-heart"
"419","Roxette","Listen To Your Heart","Chorus","Bmin","85","bm-G-D-A-bm-G-D-A-D-A-G-D-bm-G-A","http://www.hooktheory.com/theorytab/view/roxette/listen-to-your-heart"
"420","Roxette","Listen To Your Heart","Outro","D#min","85","E-E-E-c#m-c#m-c#m-B-A-B-C#-d#m-B-F#-C#-d#m-B-F#-C#-F#-C#-B-F#-d#m-B-C#-d#m-B-F#-C#-d#m-B-F#-C#-F#-C#-B-F#-d#m-B-C#","http://www.hooktheory.com/theorytab/view/roxette/listen-to-your-heart"
"421","Sting","Shape Of My Heart","Intro","F#min","86","f#m-c#m-bm-C#sus4-C#-D-c#m-bm-C#sus4-C#-D6-A(add9)-C#-D-C#7sus4-f#m","http://www.hooktheory.com/theorytab/view/sting/shape-of-my-heart"
"422","John Mayer","The Heart of Life","Verse","Dbmaj","71","Db-bbm-fm-Gb-Db-Ab","http://www.hooktheory.com/theorytab/view/john-mayer/the-heart-of-life"
"423","John Mayer","The Heart of Life","Pre-Chorus","Dbmaj","71","Db-bbm-fm-Gb-Db-Ab","http://www.hooktheory.com/theorytab/view/john-mayer/the-heart-of-life"
"424","Game Freak","Credits - Pokemon HeartGold and SoulSilver","Verse","Cmaj","137","C-G-eo-F-fm-C-D-G-C-G-eo-F-fm-C-D-Gsus4-G-g#o","http://www.hooktheory.com/theorytab/view/game-freak/credits---pokemon-heartgold-and-soulsilver"
"425","Game Freak","Credits - Pokemon HeartGold and SoulSilver","Chorus","Cmaj","137","F-G-em-am-F-G-em-am-F-G7-G-em-am-F-D-Gsus4-G","http://www.hooktheory.com/theorytab/view/game-freak/credits---pokemon-heartgold-and-soulsilver"
"426","Game Freak","Credits - Pokemon HeartGold and SoulSilver","Outro","Dmaj","136","","http://www.hooktheory.com/theorytab/view/game-freak/credits---pokemon-heartgold-and-soulsilver"
"427","James Blunt","Bonfire Heart","Intro","Cmaj","117","C-C-em-C-em-F-F-C-am-am-G-C-G","http://www.hooktheory.com/theorytab/view/james-blunt/bonfire-heart"
"428","James Blunt","Bonfire Heart","Chorus","Cmaj","118","C-em-am-G-F-am-G-C-em-am-G-F-am-G","http://www.hooktheory.com/theorytab/view/james-blunt/bonfire-heart"
"429","Joe Hisaishi","Pieces of a Broken Heart","Chorus","Dmin","94","Bb-am-gm-F-B-bmaj7-F(add9)-gm7-asus4-A-E-bmaj7-dm7-gm7-am7-dsus4-D","http://www.hooktheory.com/theorytab/view/joe-hisaishi/pieces-of-a-broken-heart"
"430","Porter Robinson","Lionhearted-ft Urban Cone","Chorus","Cmin","128","Ab-cm-fm-cm-Ab-cm-gm-Ab-cm","http://www.hooktheory.com/theorytab/view/porter-robinson/lionhearted-ft-urban-cone"
"431","John Mayer","Half of My Heart","Chorus","Fmaj","120","Bb-F-C-dm-Bb-F-C-Bb-F-C-dm-Bb-Bb-Bb-C-F-C","http://www.hooktheory.com/theorytab/view/john-mayer/half-of-my-heart"
"432","Yes","Heart of the Sunrise","Intro","G#min","135","g#m-g#m","http://www.hooktheory.com/theorytab/view/yes/heart-of-the-sunrise"
