"artist","song","song_parts","key","bpm","chords","link","roman","roman_features","song_join_code","artist_name","album_name","album_release_date","year","phase"
"The Beatles","Here Comes the Sun","Bridge","Amaj",128,"E7-C-G-D-A-E7-E7","http://www.hooktheory.com/theorytab/view/the-beatles/here-comes-the-sun","V-bIII/(min)-IV/IV-IV-I-V-V","V7-bIII/(min)-IV/IV-IV-I-V7-V7","here comes the sun","The Beatles","Abbey Road","1969-09-26",1969,"Late"
"The Beatles","Across the Universe","Verse","Dbmaj",80,"Db-bbm-fm-ebm7-Ab7-Db-bbm-fm-ebm7-gbm-gbm-Db-Ab7-Gb-Db","http://www.hooktheory.com/theorytab/view/the-beatles/across-the-universe","I-vi-iii-ii-V-I-vi-iii-ii-iv/(min)-iv/(min)-I-V-IV-I","I-vi-iii-ii7-V7-I-vi-iii-ii7-iv/(min)-iv/(min)-I-V7-IV-I","across the universe","The Beatles","Let It Be","1970-05-08",1970,"Late"
"The Beatles","While My Guitar Gently Weeps","Intro","Amin",114,"am-am-D(add9)-F-am-G-D-E","http://www.hooktheory.com/theorytab/view/the-beatles/while-my-guitar-gently-weeps","i-i-IV/(maj)-VI-i-VII-IV/(maj)-V/(maj)","i-i-IV(add9)/(maj)-VI-i-VII-IV/(maj)-V/(maj)","while my guitar gently weeps","The Beatles","White Album","1968-11-22",1968,"Late"
"The Beatles","While My Guitar Gently Weeps","Verse","Amin",112,"am-am-D(add9)-F-am-G-D-E","http://www.hooktheory.com/theorytab/view/the-beatles/while-my-guitar-gently-weeps","i-i-IV/(maj)-VI-i-VII-IV/(maj)-V/(maj)","i-i-IV(add9)/(maj)-VI-i-VII-IV/(maj)-V/(maj)","while my guitar gently weeps","The Beatles","White Album","1968-11-22",1968,"Late"
"The Beatles","While My Guitar Gently Weeps","Chorus","Amaj",128,"A-c#m-c#m-f#m-c#m-c#m-bm-bm-bm-bm-E","http://www.hooktheory.com/theorytab/view/the-beatles/while-my-guitar-gently-weeps","I-iii-iii-vi-iii-iii-ii-ii-ii-ii-V","I-iii-iii-vi-iii-iii-ii-ii-ii-ii-V","while my guitar gently weeps","The Beatles","White Album","1968-11-22",1968,"Late"
"The Beatles","All My Loving","Verse","Emaj",157,"f#m-B-E-c#m-A-f#m-D-B-f#m-B-E-c#m-A-B7-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/all-my-loving","ii-V-I-vi-IV-ii-IV/IV-V-ii-V-I-vi-IV-V-I-I","ii-V-I-vi-IV-ii-IV/IV-V-ii-V-I-vi-IV-V7-I-I","all my loving","The Beatles","With the Beatles","1963-11-22",1963,"Early"
"The Beatles","All My Loving","Verse","Emaj",157,"f#m-B-E-c#m-A-f#m-D-B-f#m-B-E-c#m-A-B7-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/all-my-loving","ii-V-I-vi-IV-ii-IV/IV-V-ii-V-I-vi-IV-V-I-I","ii-V-I-vi-IV-ii-IV/IV-V-ii-V-I-vi-IV-V7-I-I","all my loving","The Beatles","Meet the Beatles","1964-01-20",1964,"Early"
"The Beatles","All My Loving","Solo","Emaj",158,"A-E-f#m-B-E","http://www.hooktheory.com/theorytab/view/the-beatles/all-my-loving","IV-I-ii-V-I","IV-I-ii-V-I","all my loving","The Beatles","With the Beatles","1963-11-22",1963,"Early"
"The Beatles","All My Loving","Solo","Emaj",158,"A-E-f#m-B-E","http://www.hooktheory.com/theorytab/view/the-beatles/all-my-loving","IV-I-ii-V-I","IV-I-ii-V-I","all my loving","The Beatles","Meet the Beatles","1964-01-20",1964,"Early"
"The Beatles","Oh Darling","Verse","Amaj",176,"A-E-f#m-D-bm7-E-bm7-E-A-D-A-E","http://www.hooktheory.com/theorytab/view/the-beatles/oh-darling","I-V-vi-IV-ii-V-ii-V-I-IV-I-V","I-V-vi-IV-ii7-V-ii7-V-I-IV-I-V","oh darling","The Beatles","Abbey Road","1969-09-26",1969,"Late"
