"artist","song","song_parts","key","bpm","chords","link"
"The Beatles","Hey Bulldog","Bridge","Cmin","103","cm-Ab-ao-cm7-fm-Db-do-fm7-co-fm","http://www.hooktheory.com/theorytab/view/the-beatles/hey-bulldog"
"The Beatles","Hey Bulldog","Solo","Cmix","103","C7-gm-C7-gm-Bb-gm-F-F7-Bb-gm-C7","http://www.hooktheory.com/theorytab/view/the-beatles/hey-bulldog"
"The Beatles","Girl","Verse","Cmin","94","cm-G7-cm-fm-Eb-G7-cm-G7-cm-fm-cm","http://www.hooktheory.com/theorytab/view/the-beatles/girl"
"The Beatles","Girl","Chorus","Ebmaj","94","Eb-gm-fm-Bb7-Eb-gm-fm-Bb7","http://www.hooktheory.com/theorytab/view/the-beatles/girl"
"The Beatles","Girl","Bridge","Ebmaj","94","fm-C-fm-C-fm-C-fm-Ab","http://www.hooktheory.com/theorytab/view/the-beatles/girl"
"The Beatles","She's Leaving Home","Verse","Emaj","128","E-bm-f#m7-f#m7-c#m7-c#m7-F#7-F#7-Amaj7-Amaj7-B7-B7-Amaj7-Amaj7-B7-B7","http://www.hooktheory.com/theorytab/view/the-beatles/shes-leaving-home"
"The Beatles","I Don't Want To Spoil The Party","Verse","Gmaj","96","G-G-G-D7-em-B7-am7-D-G-F-G","http://www.hooktheory.com/theorytab/view/the-beatles/i-dont-want-to-spoil-the-party"
"The Beatles","I Don't Want To Spoil The Party","Chorus","Gmaj","188","G-G-em7-A-C-D","http://www.hooktheory.com/theorytab/view/the-beatles/i-dont-want-to-spoil-the-party"
"The Beatles","She Came in through the Bathroom Window","Verse","Amix","81","A-D-D-D-f#m-A-A-f#m7-f#m-D-D-D-f#m-A-A-f#m7-f#m7-D-f#m-D-D-D","http://www.hooktheory.com/theorytab/view/the-beatles/she-came-in-through-the-bathroom-window"
"The Beatles","ALL I'VE GOT TO DO","Verse","Emaj","126","c#m-c#m-E-E-c#m-c#m-f#m-f#m-am-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/all-ive-got-to-do"
"The Beatles","Fixing A Hole","Verse","Fmin","107","F-C-fm-fm7-Bb-fm-Bb-fm-Bb","http://www.hooktheory.com/theorytab/view/the-beatles/fixing-a-hole"
"The Beatles","Your Mother Should Know","Verse","Amin","120","am-Fmaj7-A7-dm-G7-C-A7-D-G7-C-E7","http://www.hooktheory.com/theorytab/view/the-beatles/your-mother-should-know"
"The Beatles","Martha My Dear","Chorus","Ebmaj","96","Eb-D-gm-gm-C7-F-Bb-Ab(add9)-Bb7-Ab-Bb7-Ab-Bb-Bb7","http://www.hooktheory.com/theorytab/view/the-beatles/martha-my-dear"
"The Beatles","Good Day Sunshine","Verse","Amaj","117","A-F#-B-E-A-A-F#-B-E-A","http://www.hooktheory.com/theorytab/view/the-beatles/good-day-sunshine"
"The Beatles","Good Day Sunshine","Chorus","Amaj","128","B-F#-B-F#-E7","http://www.hooktheory.com/theorytab/view/the-beatles/good-day-sunshine"
"The Beatles","Only a Northern Song","Verse","Amaj","98","A-bm-E7-D-D","http://www.hooktheory.com/theorytab/view/the-beatles/only-a-northern-song"
"The Beatles","Only a Northern Song","Chorus","Amaj","96","E-bm7-G-C#7-F#7-bm-F#7-D-A-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/only-a-northern-song"
"The Beatles","Sexy Sadie","Verse","Gmaj","153","G-F#-bm-C-D-G-F#-C-D-G-F#-F-D","http://www.hooktheory.com/theorytab/view/the-beatles/sexy-sadie"
"The Beatles","I'm So Tired","Verse","Amaj","136","A-G#-D-E-A-f#m-D-E-A-am-f#m-dm-A-G#-D-E-A-f#m-D-E-A-am-f#m7-dm7-dm6-dm","http://www.hooktheory.com/theorytab/view/the-beatles/im-so-tired"
"The Beatles","I'm So Tired","Chorus","Amaj","128","A-E7-D-A","http://www.hooktheory.com/theorytab/view/the-beatles/im-so-tired"
