"artist","song","song_parts","key","bpm","chords","link","roman"
"The Beatles","Oh Darling","Verse","Amaj",176,"A-E-f#m-D-bm7-E-bm7-E-A-D-A-E","http://www.hooktheory.com/theorytab/view/the-beatles/oh-darling","I-V-vi-IV-ii-V-ii-V-I-IV-I-V"
"The Beatles","Oh Darling","Chorus","Amaj",174,"D-F-A-B-E-F-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/oh-darling","IV-bVI(min)-I-V/V-V-bVI(min)-V-V"
"The Beatles","Eleanor Rigby","Verse","Edor",136,"em-em-em-C-C-em","http://www.hooktheory.com/theorytab/view/the-beatles/eleanor-rigby","i-i-i-NA-NA-i"
"The Beatles","Eleanor Rigby","Chorus","Emin",137,"em7-em6-C-em-em7-em6-C-em","http://www.hooktheory.com/theorytab/view/the-beatles/eleanor-rigby","i-i-VI-i-i-i-VI-i"
"The Beatles","Come Together","Intro","Dmin",84,"dm7-dm7-A7-G7","http://www.hooktheory.com/theorytab/view/the-beatles/come-together","i-i-I(maj)-vii/V"
"The Beatles","Come Together","Chorus","Dmaj",84,"bm-bm-bm-bm-bm-bm-A-A-G-G-G-G-A","http://www.hooktheory.com/theorytab/view/the-beatles/come-together","vi-vi-vi-vi-vi-vi-V-V-IV-IV-IV-IV-V"
"The Beatles","Come Together","Solo","Dmin",82,"dm-am-dm","http://www.hooktheory.com/theorytab/view/the-beatles/come-together","i-v-i"
"The Beatles","I Am the Walrus","Intro","Emaj",84,"B-B-f#m-G-F-E-E7-D-D-A-A7-C-D-E(add9)-A-A7-C-D-A-A-A7-f#m7(b5)-F-G-A-A7-F-B7-C-D-E","http://www.hooktheory.com/theorytab/view/the-beatles/i-am-the-walrus","V-V-ii-bIII(min)-NA-I-V/IV-IV/IV-IV/IV-IV-NA-bVI(min)-IV/IV-I-IV-NA-bVI(min)-IV/IV-IV-IV-NA-NA-NA-bIII(min)-IV-NA-NA-V-bVI(min)-IV/IV-I"
"The Beatles","When I'm Sixty-Four","Verse","Dbmaj",138,"Db-Ab-Ab-Db-Db-Db7-Gb-Gb-gbm-Db-Bb-Eb-Ab-Db","http://www.hooktheory.com/theorytab/view/the-beatles/when-im-sixty-four","I-V-V-I-I-V/IV-IV-IV-iv(min)-I-I/vi-V/V-V-I"
"The Beatles","When I'm Sixty-Four","Bridge","Dbmaj",138,"b-bm-Ab-bbm-bbm-F-bbm-ebm-Gb-Ab-Db-Ab-Ab7","http://www.hooktheory.com/theorytab/view/the-beatles/when-im-sixty-four","NA-NA-V-vi-vi-V/vi-vi-ii-IV-V-I-V-V"
"The Beatles","I Want To Hold Your Hand","Intro","Gmaj",132,"C-D-C-D-C-D-D7-G","http://www.hooktheory.com/theorytab/view/the-beatles/i-want-to-hold-your-hand","IV-V-IV-V-IV-V-V-I"
"The Beatles","I Want To Hold Your Hand","Verse","Gmaj",128,"G-D-em-B-G-D-em-B","http://www.hooktheory.com/theorytab/view/the-beatles/i-want-to-hold-your-hand","I-V-vi-V/vi-I-V-vi-V/vi"
"The Beatles","I Want To Hold Your Hand","Chorus","Gmaj",128,"C-D-G-em-C-D-B-B7-C-D-G-G-G-G-G-G-G","http://www.hooktheory.com/theorytab/view/the-beatles/i-want-to-hold-your-hand","IV-V-I-vi-IV-V-V/vi-V/vi-IV-V-I-I-I-I-I-I-I"
"The Beatles","And I Love Her","Verse","Emaj",117,"f#m-c#m-f#m-c#m-f#m-c#m-A-B-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/and-i-love-her","ii-vi-ii-vi-ii-vi-IV-V-I-I"
"The Beatles","And I Love Her","Bridge","Emaj",115,"c#m-B-c#m-g#m-c#m-g#m-B-B7","http://www.hooktheory.com/theorytab/view/the-beatles/and-i-love-her","vi-V-vi-iii-vi-iii-V-V"
"The Beatles","And I Love Her","Outro","Fmaj",108,"gm-F-gm-D","http://www.hooktheory.com/theorytab/view/the-beatles/and-i-love-her","ii-I-ii-I/vi"
"The Beatles","Penny Lane","Verse","Bmaj",112,"B-B-g#m7-B-E6-c#m7-F#7-F#7-B-B-g#m7-B-bm7-g#m7(b5)-Gmaj7-F#7sus4-F#7-F#7sus4-F#7-B-B-g#m7-B-E6-c#m7-F#7-F#7-B-B-g#m7-B-bm7-g#m7(b5)-Gmaj7-F#7sus4-F#7-E","http://www.hooktheory.com/theorytab/view/the-beatles/penny-lane","I-I-vi-I-IV-ii-V-V-I-I-vi-I-i(min)-NA-bVI(min)-V-V-V-V-I-I-vi-I-IV-ii-V-V-I-I-vi-I-i(min)-NA-bVI(min)-V-V-IV"
"The Beatles","Penny Lane","Chorus","Amaj",128,"A-A-D-D-A-A-D-F#7","http://www.hooktheory.com/theorytab/view/the-beatles/penny-lane","I-I-IV-IV-I-I-IV-NA"
"The Beatles","In My Life","Intro","Amaj",104,"A-E-A-E-f#m-A7-D-dm-A","http://www.hooktheory.com/theorytab/view/the-beatles/in-my-life","I-V-I-V-vi-V/IV-IV-iv(min)-I"
"The Beatles","I Should Have Known Better","Intro","Gmaj",128,"G-D-G-D-G-D-G-D-G-D-G-D-G-D-G-D","http://www.hooktheory.com/theorytab/view/the-beatles/i-should-have-known-better","I-V-I-V-I-V-I-V-I-V-I-V-I-V-I-V"
"The Beatles","I Should Have Known Better","Verse","Gmaj",128,"G-D-G-D-G-D-G-D-G-D-em-C-D-G-D-G-D-G-D-G-D-G-D-G-D-G-D-em-C-C-B7-em-C-G-B7-em-C-G-Gmaj7-C-D-G-em-C-D-G","http://www.hooktheory.com/theorytab/view/the-beatles/i-should-have-known-better","I-V-I-V-I-V-I-V-I-V-vi-IV-V-I-V-I-V-I-V-I-V-I-V-I-V-I-V-vi-IV-IV-V/vi-vi-IV-I-V/vi-vi-IV-I-I-IV-V-I-vi-IV-V-I"
"The Beatles","Lovely Rita","Verse","Ebmaj",84,"Eb-Db-Ab-Eb-Bb-cm-F-Bb-Eb-Ab-Db-Gb-Eb-Bb-Eb-Ab-Db-Gb-Eb-Bb-Eb-cm-F7-Bb","http://www.hooktheory.com/theorytab/view/the-beatles/lovely-rita","I-IV/IV-IV-I-V-vi-V/V-V-I-IV-IV/IV-bIII(min)-I-V-I-IV-IV/IV-bIII(min)-I-V-I-vi-V/V-V"
"The Beatles","Lovely Rita","Chorus","Ebmaj",128,"Bb-Ab-Eb-Bb","http://www.hooktheory.com/theorytab/view/the-beatles/lovely-rita","V-IV-I-V"
"The Beatles","Ticket to Ride","Verse","Amaj",120,"A(add9)-A(add9)-A(add9)-bm-E","http://www.hooktheory.com/theorytab/view/the-beatles/ticket-to-ride","I-I-I-ii-V"
"The Beatles","Ticket to Ride","Chorus","Amaj",128,"f#m-D-f#m-Gmaj7-f#m-E-A(add9-)","http://www.hooktheory.com/theorytab/view/the-beatles/ticket-to-ride","vi-IV-vi-IV/IV-vi-V-NA-NA"
"The Beatles","Ticket to Ride","Bridge","Amaj",120,"D-E-E7-D-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/ticket-to-ride","IV-V-V-IV-V-V"
"The Beatles","Ticket to Ride","Outro","Amaj",128,"A(add9-)","http://www.hooktheory.com/theorytab/view/the-beatles/ticket-to-ride","NA-NA"
"The Beatles","With A Little Help From My Friends","Verse","Emaj",109,"E-B-f#m-f#m-B7-E-E-B-f#m-f#m-B7-E-D-A-E-D-A-E-A-E-B","http://www.hooktheory.com/theorytab/view/the-beatles/with-a-little-help-from-my-friends","I-V-ii-ii-V-I-I-V-ii-ii-V-I-IV/IV-IV-I-IV/IV-IV-I-IV-I-V"
"The Beatles","With A Little Help From My Friends","Bridge","Emaj",110,"c#m7-F#-E-D-A-c#m7-F#-E-D-A","http://www.hooktheory.com/theorytab/view/the-beatles/with-a-little-help-from-my-friends","vi-V/V-I-IV/IV-IV-vi-V/V-I-IV/IV-IV"
"The Beatles","For No One","Verse","Bmaj",80,"B-B-g#m-B-E-A-B","http://www.hooktheory.com/theorytab/view/the-beatles/for-no-one","I-I-vi-I-IV-IV/IV-I"
"The Beatles","For No One","Bridge","Bmaj",84,"c#m-G#7-c#m-c#m-G#7-c#m-c#m-F#sus4-F#","http://www.hooktheory.com/theorytab/view/the-beatles/for-no-one","ii-NA-ii-ii-NA-ii-ii-V-V"
"The Beatles","Something","Verse","Cmaj",64,"F-Eb-G7-C-Cmaj7-C7-F-C-D7-G-am7-G-am-E-am-D(add9)-F-Eb-G","http://www.hooktheory.com/theorytab/view/the-beatles/something","IV-bIII(min)-V-I-I-V/IV-IV-I-V/V-V-vi-V-vi-V/vi-vi-V/V-IV-bIII(min)-V"
"The Beatles","Something","Solo","Cmaj",64,"C-Cmaj7-C7-F-C-D7-G-G-am-E-am-f#o-F-Eb-G","http://www.hooktheory.com/theorytab/view/the-beatles/something","I-I-V/IV-IV-I-V/V-V-V-vi-V/vi-vi-vii/V-IV-bIII(min)-V"
"The Beatles","All Together Now","Intro","Gmaj",90,"G-D7-G-D7-G-G-D7-G-D7-G","http://www.hooktheory.com/theorytab/view/the-beatles/all-together-now","I-V-I-V-I-I-V-I-V-I"
"The Beatles","All Together Now","Pre-Chorus","Gmaj",90,"C-G-C-D-D7","http://www.hooktheory.com/theorytab/view/the-beatles/all-together-now","IV-I-IV-V-V"
"The Beatles","All Together Now","Chorus","Gmaj",90,"G-G-D7-G-G-G-D7-G","http://www.hooktheory.com/theorytab/view/the-beatles/all-together-now","I-I-V-I-I-I-V-I"
"The Beatles","You Never Give Me Your Money","Intro","Cmaj",81,"am7-dm7-G7-C-Fmaj7-bm7(b5)-E7-am","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money","vi-ii-V-I-IV-vii-V/vi-vi"
"The Beatles","You Never Give Me Your Money","Verse","Cmaj",88,"C-E7-am-C7-F-G7-C","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money","I-V/vi-vi-V/IV-IV-V-I"
"The Beatles","You Never Give Me Your Money","Chorus","Cmaj",88,"Bb-F-C-Bb-F-C-Bb-F-C-Bb-F-C-Bb-F","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money","IV/IV-IV-I-IV/IV-IV-I-IV/IV-IV-I-IV/IV-IV-I-IV/IV-IV"
"The Beatles","You Never Give Me Your Money","Bridge","Amaj",88,"A-B-C-E-A-dm-G-asus4-G-A-B-C","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money","I-V/V-bIII(min)-V-I-iv(min)-IV/IV-NA-IV/IV-I-V/V-bIII(min)"
