"","artist","song","song_parts","chords","link"
"1","Bee Gees","Stayin' Alive","Intro","fm7-Bb","http://www.hooktheory.com/theorytab/view/bee-gees/stayin-alive"
"2","Bee Gees","Stayin' Alive","Verse","fm-fm7-Eb-fm7-fm-fm7-Eb-fm7-Bb-Bb-Bb-Bb","http://www.hooktheory.com/theorytab/view/bee-gees/stayin-alive"
"3","Bee Gees","Stayin' Alive","Pre-Chorus","fm-Eb-A-b6-Eb-fm-fm7-fm-Eb-A-b6-Eb-fm-fm7-fm-Eb-A-b6-Eb-fm-fm7-fm-Eb-A-b6-Eb-fm-Bb-fm7-cm","http://www.hooktheory.com/theorytab/view/bee-gees/stayin-alive"
"4","Bee Gees","To Love Somebody","Verse","A-bm-D-A-G-A-E-D","http://www.hooktheory.com/theorytab/view/bee-gees/to-love-somebody"
"5","Bee Gees","To Love Somebody","Chorus","A-E-D-A-E-D-A","http://www.hooktheory.com/theorytab/view/bee-gees/to-love-somebody"
"6","Bee Gees","How Deep Is Your Love","Verse","Eb-gm7-fm7-C7-fm7-G7-Ab-Eb-gm7-cm7-fm7-B-b9","http://www.hooktheory.com/theorytab/view/bee-gees/how-deep-is-your-love"
"7","Bee Gees","How Deep Is Your Love","Pre-Chorus","A-bmaj7-gm7-fm7-D-bmaj7-gm7-Ab","http://www.hooktheory.com/theorytab/view/bee-gees/how-deep-is-your-love"
"8","Bee Gees","How Deep Is Your Love","Chorus","Eb-E-bmaj7-A-bmaj7-a-bm6-Eb-D-b6-C7-fm7-a-bm","http://www.hooktheory.com/theorytab/view/bee-gees/how-deep-is-your-love"
"9","Bee Gees","Tragedy","Verse","Eb-Eb-Eb-F-G-F-Ab-Ab","http://www.hooktheory.com/theorytab/view/bee-gees/tragedy"
"10","Bee Gees","Tragedy","Chorus","bm-f#m7-bm-f#m7-G-G-bm-G-F#7","http://www.hooktheory.com/theorytab/view/bee-gees/tragedy"
"11","Bee Gees","Night Fever","Intro","c#m7-f#m7-Emaj7-f#m7-c#m7-f#m7-Emaj7-f#m7","http://www.hooktheory.com/theorytab/view/bee-gees/night-fever"
"12","Bee Gees","Night Fever","Verse","B-A-E-B-B-C#7-E-A-B-g#m7-A-g#m7-d#m7-g#m7-c#m-G#","http://www.hooktheory.com/theorytab/view/bee-gees/night-fever"
"13","Bee Gees","Night Fever","Bridge","F#-c#m7-F#-c#m7-F#-c#m7-F#-c#m7-F#-C#","http://www.hooktheory.com/theorytab/view/bee-gees/night-fever"
