"","artist","song","song_parts","chords","link"
"35","Ray Charles","Georgia","Intro","G-bm-em-cm-c#o-G-am7-D7","http://www.hooktheory.com/theorytab/view/ray-charles/georgia"
"36","Ray Charles","Georgia","Verse","G-B7-em-G7-C-c#o-G-E7-A7-D7-F7-E7-A7-D7","http://www.hooktheory.com/theorytab/view/ray-charles/georgia"
"37","Ray Charles","Georgia","Bridge","em-am7-A7-am7-em-am7-em7-A7-em-am7-em-F#-F#7-bm7-E7-A7-D7","http://www.hooktheory.com/theorytab/view/ray-charles/georgia"
"38","The Beatles","Hey Jude","Verse","F-C-C7-C7sus4-C7-F-Bb-F-C-F","http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude"
"39","The Beatles","Hey Jude","Chorus","F7-Bb-dm7-gm7-dm-C7-F-Fmaj7-F7-Bb-dm7-gm7-dm-C7-F-F7-C7-F","http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude"
"40","The Beatles","Hey Jude","Outro","F-Eb-Bb-F","http://www.hooktheory.com/theorytab/view/the-beatles/hey-jude"
"41","The Beatles","A Day in the Life","Verse","G-em-C-am7-f#m7(b5)-G-bm-em-C-F-em-C-F-em-C","http://www.hooktheory.com/theorytab/view/the-beatles/a-day-in-the-life"
"42","The Beatles","A Day in the Life","Bridge","E-D-E-B(add9)-E-B(add9)-B-E-D-E-B(add9)-E-B(add9)-C-G-D-A-E-C-G-D-A-E-D-C","http://www.hooktheory.com/theorytab/view/the-beatles/a-day-in-the-life"
"43","The Beatles","Let It Be","Verse","C-G-am-Fmaj7-F6-C-G-F-C-dm-C","http://www.hooktheory.com/theorytab/view/the-beatles/let-it-be"
"44","The Beatles","Let It Be","Chorus","am-G-F-C-G-F-C-dm-C","http://www.hooktheory.com/theorytab/view/the-beatles/let-it-be"
"45","The Beatles","Blackbird","Verse","G-am7-G-C-c#o-D-d#o-em-Eb-D-c#o-C-cm-G-A7-D7sus4-G-C-G-A7-D7sus4-G","http://www.hooktheory.com/theorytab/view/the-beatles/blackbird"
"46","The Beatles","Blackbird","Chorus","F-C-dm-C-Bb-C-F-C-dm-C-Bb-A-dm7-gm","http://www.hooktheory.com/theorytab/view/the-beatles/blackbird"
