"","artist","song","song_parts","key","bpm","chords","link"
"1","Ricky Nelson","Poor Little Fool","Chorus","Cmaj","80","C-am-F-G-C-am-F-G-C-am-F-G-C-am-F-G","http://www.hooktheory.com/theorytab/view/ricky-nelson/poor-little-fool"
"2","The Platters","Only You","Verse","Ebmaj","120","Eb-G7-cm-E-b7-Ab-Bb7-Eb-G7-cm-C7-F-Bb","http://www.hooktheory.com/theorytab/view/the-platters/only-you"
"3","Bobby Darin","Artificial Flowers","Verse","Bbmaj","166","Bb-dm-Eb-cm-F","http://www.hooktheory.com/theorytab/view/bobby-darin/artificial-flowers"
"4","Bobby Darin","Artificial Flowers","Chorus","Bbmaj","166","Eb-Bb-F-Bb-Bb","http://www.hooktheory.com/theorytab/view/bobby-darin/artificial-flowers"
"5","Hozier","Jackie And Wilson","Chorus","Dbmaj","164","Db-e-bm-Gb-Gb-Db-e-bm-Gb-Gb-bbm-fm-Gb-Gb-Db-e-bm-Gb","http://www.hooktheory.com/theorytab/view/hozier/jackie-and-wilson"
"6","Chuck Berry","Johnny B Goode","Verse","Bbmaj","168","Bb-Eb-Bb-F-Bb","http://www.hooktheory.com/theorytab/view/chuck-berry/johnny-b-goode"
"7","Chuck Berry","Johnny B Goode","Chorus","Bbmaj","128","Bb-Eb-Bb-F-Bb","http://www.hooktheory.com/theorytab/view/chuck-berry/johnny-b-goode"
"8","Chuck Berry","Maybellene","Chorus","Bbmaj","128","Bb-B-bmaj7-Eb-Bb-F-Bb","http://www.hooktheory.com/theorytab/view/chuck-berry/maybellene"
"9","Chuck Berry","My Ding-a-Ling","Verse","Ebmaj","128","Eb-Ab-Bb-Eb-E-b7-Eb-Ab-Bb-Eb","http://www.hooktheory.com/theorytab/view/chuck-berry/my-ding-a-ling"
"10","Fabian Mazur","Thinking Bout U","Chorus","Cmin","150","Ab-fm6-E-bsus2-cm-cm-E-bmaj7-Ab-fm6-E-bsus2-cm-cm","http://www.hooktheory.com/theorytab/view/fabian-mazur/thinking-bout-u"
"11","Sam Cooke","Wonderful World","Chorus","Bmaj","132","B-g#m-E-F#-B-g#m-E-F#","http://www.hooktheory.com/theorytab/view/sam-cooke/wonderful-world"
"12","Sam Cooke","Another Saturday Night","Verse","Cmaj","125","C-F-C-G-C-F-C-G-C-G","http://www.hooktheory.com/theorytab/view/sam-cooke/another-saturday-night"
"13","Sam Cooke","A Change Is Gonna Come","Verse","Bbmaj","70","B-b(add9)-Bb-cm-Eb-gm-gm-Bb-E-bmaj7-dsus4-dm-gm-gm-C7-Bb-Bb-cm-Eb-gm-Bb-Eb-dsus4-dm-gm-F7-Bb","http://www.hooktheory.com/theorytab/view/sam-cooke/a-change-is-gonna-come"
"14","Johnny Cash","Ring of Fire","Chorus","Gmaj","128","D-C-G-D-C-G-G-G-C-G-G-G","http://www.hooktheory.com/theorytab/view/johnny-cash/ring-of-fire"
"15","Johnny Cash","Hurt","Intro","Amin","100","am7-Fmaj9-C-G-am7-Fmaj9-C-G-am7-Fmaj9-G-am7-Fmaj9-G","http://www.hooktheory.com/theorytab/view/johnny-cash/hurt"
"16","Johnny Cash","Hurt","Chorus","Amin","100","am7-Fmaj9-C-G-am7-Fmaj9-C-G-am7-Fmaj9-G-am7-Fmaj9-G","http://www.hooktheory.com/theorytab/view/johnny-cash/hurt"
"17","Johnny Cash","I Walk The Line","Verse","Dmaj","128","A-D-A-D-G-D-A-D","http://www.hooktheory.com/theorytab/view/johnny-cash/i-walk-the-line"
"18","Johnny Cash","You Are My Sunshine","Intro","Amaj","86","A-A-A7-D-A-D-A-A-E-A","http://www.hooktheory.com/theorytab/view/johnny-cash/you-are-my-sunshine"
