"","artist","song","song_parts","chords","link"
"39","Taylor Swift","Holy Ground","Chorus","C-am7-Fmaj7sus2-C-am7-Fmaj7sus2-C-am7-Fmaj7sus2-C-am7-Fmaj7sus2-C","http://www.hooktheory.com/theorytab/view/taylor-swift/new-years-day"
"40","Taylor Swift","Holy Ground","Chorus","Fmaj7sus2-C-am7-Fsus2-G(add9)-C-am7-Fsus2-G(add9)-C-am7-F-G-am-em-F-G","http://www.hooktheory.com/theorytab/view/taylor-swift/new-years-day"
"41","Taylor Swift","Holy Ground","Bridge","C-am-Fmaj7-Gsus4-G-C-am7-Fmaj7sus2-Gsus4-G-C-am7-Fmaj7sus2-Gsus4-G-am7-em-F-G","http://www.hooktheory.com/theorytab/view/taylor-swift/new-years-day"
"42","Taylor Swift","White Horse","Chorus","G-am-em-C-G-am-em-C-G-am-em-C-G-am","http://www.hooktheory.com/theorytab/view/taylor-swift/ready-for-it"
"43","Taylor Swift","Forever And Always","Verse","G-A-D-em7-G-A-D-em7-G-A-D-em7-G-A-D-em7-G-A","http://www.hooktheory.com/theorytab/view/taylor-swift/our-song"
"44","Taylor Swift","Forever And Always","Chorus","D-em7-G-A-D-em7-G-A-D-em7-G-A-G-A-em7-D-G","http://www.hooktheory.com/theorytab/view/taylor-swift/our-song"
"45","Taylor Swift","Forever And Always","Bridge","A-em-G-D-A-em7-G","http://www.hooktheory.com/theorytab/view/taylor-swift/our-song"
"46","Taylor Swift","The Way I Loved You","Intro","","http://www.hooktheory.com/theorytab/view/taylor-swift/delicate"
"47","Taylor Swift","The Way I Loved You","Verse","C-dm-am-F-C-dm-am-F","http://www.hooktheory.com/theorytab/view/taylor-swift/delicate"
"48","Taylor Swift","The Way I Loved You","Chorus","F-C-dm-am-F-C-dm-am-F-C-dm-am-F","http://www.hooktheory.com/theorytab/view/taylor-swift/delicate"
"49","Taylor Swift","The Way I Loved You","Bridge","em-am-G-em-am-G","http://www.hooktheory.com/theorytab/view/taylor-swift/delicate"
"50","Taylor Swift","Dancing With Our Hands Tied","Intro","E-B-c#m-A","http://www.hooktheory.com/theorytab/view/taylor-swift/clean"
"51","Taylor Swift","Dancing With Our Hands Tied","Chorus","E-B7-c#m-A-E-B7-c#m-A","http://www.hooktheory.com/theorytab/view/taylor-swift/clean"
"52","Taylor Swift","Last Kiss","Verse","C-G-am-F-G-C-G-am-F-G-C-G-am-F-G-F-em-F-C-G","http://www.hooktheory.com/theorytab/view/taylor-swift/gorgeous"
"53","Taylor Swift","Last Kiss","Chorus","C-G-am-F-G-C-G-am-F-G","http://www.hooktheory.com/theorytab/view/taylor-swift/gorgeous"
"54","Taylor Swift","Call It What You Want To","Verse","C-G-dm-F-C-G-dm-F","http://www.hooktheory.com/theorytab/view/taylor-swift/king-of-my-heart"
"55","Taylor Swift","Call It What You Want To","Pre-Chorus","C-G-dm-F-C-G-dm-F","http://www.hooktheory.com/theorytab/view/taylor-swift/king-of-my-heart"
"56","Taylor Swift","Call It What You Want To","Chorus","C-G-dm7-F-C-G-dm7-F-C-G-dm7-F","http://www.hooktheory.com/theorytab/view/taylor-swift/king-of-my-heart"
"57","Taylor Swift","Call It What You Want To","Bridge","C-G-dm-F-C-G-dm-F","http://www.hooktheory.com/theorytab/view/taylor-swift/king-of-my-heart"
"58","Taylor Swift","Look What You Made Me Do","Intro","Bb-gm7-Eb-F7","http://www.hooktheory.com/theorytab/view/taylor-swift/teardrops-on-my-guitar"
"59","Taylor Swift","Look What You Made Me Do","Verse","Bb-gm7-Eb-F7-Bb-gm7-Eb-F7-gm7-Eb-Bb-F","http://www.hooktheory.com/theorytab/view/taylor-swift/teardrops-on-my-guitar"
"60","Taylor Swift","Look What You Made Me Do","Chorus","Bb-F-gm7-Eb-Bb-F-gm7-Eb","http://www.hooktheory.com/theorytab/view/taylor-swift/teardrops-on-my-guitar"
"61","Taylor Swift","All Too Well","Verse","D-A-E-D-f#m7-D-A-E-D-f#m7","http://www.hooktheory.com/theorytab/view/taylor-swift/call-it-what-you-want"
"62","Taylor Swift","All Too Well","Pre-Chorus","D-A-E-D-f#m7-D-A-E-D-f#m7","http://www.hooktheory.com/theorytab/view/taylor-swift/call-it-what-you-want"
"63","Taylor Swift","All Too Well","Chorus","D-A-E-D-f#m7-D-A-E-D-f#m7","http://www.hooktheory.com/theorytab/view/taylor-swift/call-it-what-you-want"
"64","Taylor Swift","All Too Well","Bridge","D-E-f#m7-E-D-E-f#m7-D-E-f#m7-E-D-E-f#m7","http://www.hooktheory.com/theorytab/view/taylor-swift/call-it-what-you-want"
"65","Taylor Swift","State Of Grace","Verse","","http://www.hooktheory.com/theorytab/view/taylor-swift/out-of-the-woods"
"66","Taylor Swift","State Of Grace","Chorus","F-C-G-am-F","http://www.hooktheory.com/theorytab/view/taylor-swift/out-of-the-woods"
"67","Taylor Swift","State Of Grace","Bridge","C-G-am-F","http://www.hooktheory.com/theorytab/view/taylor-swift/out-of-the-woods"
"68","Taylor Swift","Welcome To New York","Verse","D-bm-G-D-A","http://www.hooktheory.com/theorytab/view/taylor-swift/back-to-december"
"69","Taylor Swift","Welcome To New York","Pre-Chorus","bm-A-D-G-bm-A-G-D-f#m-G-D-A-D-f#m-G-D-A-G-bm7-A","http://www.hooktheory.com/theorytab/view/taylor-swift/back-to-december"
"70","Taylor Swift","Welcome To New York","Bridge","G-bm-G-D-A-bm-G-D-A-bm-G-D-A-bm-A-G-bm-A-G-Gsus2","http://www.hooktheory.com/theorytab/view/taylor-swift/back-to-december"
"71","Taylor Swift","Treacherous","Verse","Gsus2-Csus2-em7-Csus2-Gsus2-Csus2-em7-Csus2-G-Csus2-em7-Csus2-G-Csus2-em7-Csus2","http://www.hooktheory.com/theorytab/view/taylor-swift/fifteen"
"72","Taylor Swift","Treacherous","Chorus","G-em7-D-C-G-D-em7-Csus2-em7-D-G-D-C-D","http://www.hooktheory.com/theorytab/view/taylor-swift/fifteen"
"73","Taylor Swift","Treacherous","Bridge","C-em7-D-G-D-C-D-Dsus4-Gsus2-Csus2-em7-Csus2-G-Csus2-em7-Csus2-C","http://www.hooktheory.com/theorytab/view/taylor-swift/fifteen"
"74","Taylor Swift","Fearless","Verse","gm-B-b6-Eb-cm-dm-gm-B-b6-Eb-cm-dm-Eb-gm-F-Eb-cm-dm","http://www.hooktheory.com/theorytab/view/taylor-swift/i-did-something-bad"
"75","Taylor Swift","Fearless","Chorus","gm-Bb-E-bmaj7-cm-dm-gm-Bb-Eb-cm-dm","http://www.hooktheory.com/theorytab/view/taylor-swift/i-did-something-bad"
"76","Taylor Swift","Dear John","Verse","E-B-A-E-B-A","http://www.hooktheory.com/theorytab/view/taylor-swift/the-story-of-us"
"77","Taylor Swift","Dear John","Pre-Chorus","B-c#m-E-A-E-A-B","http://www.hooktheory.com/theorytab/view/taylor-swift/the-story-of-us"
"78","Taylor Swift","Dear John","Chorus","E-B-A-E-B-A-c#m-B-E-A-c#m-B-A","http://www.hooktheory.com/theorytab/view/taylor-swift/the-story-of-us"
"79","Taylor Swift","Dear John","Bridge","E-A-c#m-B-A-E-A-c#m-B-A-A(add9-)","http://www.hooktheory.com/theorytab/view/taylor-swift/the-story-of-us"
"80","Taylor Swift","Should've Said No","Verse","fm9-cm(add9)-A-b(add9)-B-b(add9-)","http://www.hooktheory.com/theorytab/view/taylor-swift/dancing-with-our-hands-tied"
"81","Taylor Swift","Should've Said No","Pre-Chorus","fm9-cm(add9)-A-b(add9)-B-b(add9-)","http://www.hooktheory.com/theorytab/view/taylor-swift/dancing-with-our-hands-tied"
